symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2025-12-19",257.500,"PUT",2025-11-24T17:20:14.919,2025-11-24T15:46:46.803,1.80,2.22,1.49,1.51,209,54,58,76,1.63,50,25,7,1.65,50
"AAPL","2025-12-19",257.500,"PUT",2025-11-25T17:22:32.466,2025-11-25T15:52:54.115,1.41,1.41,1.10,1.10,497,86,59,42,1.17,50,14,7,1.21,50
"AAPL","2025-12-19",257.500,"PUT",2025-11-26T17:15:30.257,2025-11-26T15:03:35.702,1.01,1.01,0.76,0.76,37,22,108,1,0.82,50,96,1,0.85,50
"AAPL","2025-12-19",257.500,"PUT",2025-11-28T17:25:12.489,2025-11-28T12:56:29.658,0.82,0.99,0.64,0.64,74,17,73,4,0.61,50,137,43,0.66,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-01T17:23:04.504,2025-12-01T15:51:22.477,0.74,0.88,0.50,0.50,150,40,61,76,0.42,50,61,76,0.50,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-02T17:15:18.719,2025-12-02T15:40:41.675,0.41,0.43,0.34,0.35,1050,98,70,1,0.32,50,103,5,0.34,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-03T17:19:14.083,2025-12-03T15:40:06.264,0.33,0.33,0.29,0.32,566,13,51,5,0.31,50,30,7,0.33,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-04T17:19:47.118,2025-12-04T15:53:58.967,0.40,0.45,0.37,0.40,66,27,230,4,0.32,50,242,4,0.38,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-05T17:17:27.22,2025-12-05T15:55:00.978,0.37,0.39,0.28,0.34,1610,48,53,76,0.28,50,48,4,0.32,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-08T17:16:12.602,2025-12-08T15:59:12.926,0.25,0.38,0.25,0.30,119,38,169,5,0.27,50,82,5,0.29,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-09T17:17:23.994,2025-12-09T15:55:17.352,0.23,0.28,0.21,0.26,53,20,132,5,0.25,50,57,42,0.27,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-10T17:18:55.721,2025-12-10T15:49:42.914,0.27,0.27,0.13,0.13,203,29,36,31,0.13,50,196,4,0.15,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-11T17:15:46.12,2025-12-11T15:44:55.336,0.28,0.29,0.12,0.12,179,50,296,5,0.11,50,70,46,0.13,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-12T17:16:38.02,2025-12-12T15:49:57.165,0.11,0.17,0.09,0.11,487,54,168,5,0.10,50,188,5,0.12,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-15T17:19:33.181,2025-12-15T15:56:24.081,0.08,0.15,0.07,0.07,4774,253,262,42,0.07,50,3,31,0.08,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-16T17:18:32.526,2025-12-16T15:51:40.675,0.10,0.12,0.04,0.05,953,157,138,5,0.04,50,38,7,0.05,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-17T17:15:49.308,2025-12-17T15:55:00.724,0.04,0.07,0.03,0.06,538,82,66,1,0.07,50,114,5,0.09,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-18T17:21:14.751,2025-12-18T15:59:22.897,0.05,0.16,0.02,0.05,805,163,84,76,0.03,50,110,4,0.05,50
"AAPL","2025-12-19",257.500,"PUT",2025-12-19T17:17:23.289,2025-12-19T15:58:59.121,0.04,0.04,0.01,0.01,2803,121,0,46,0.00,50,79,7,0.03,50

