symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
"AAPL","2026-01-16",257.500,"CALL",2025-12-22T17:17:17.491,2025-12-22T14:32:20.726,16.80,16.80,15.45,15.55,24,6,20,76,15.30,50,41,65,15.95,50
"AAPL","2026-01-16",257.500,"CALL",2025-12-23T17:17:52.375,2025-12-23T12:09:49,15.75,16.15,15.30,16.10,14,6,15,69,15.80,50,17,4,17.15,50
"AAPL","2026-01-16",257.500,"CALL",2025-12-24T17:15:35.759,2025-12-24T11:39:33.087,17.80,18.90,17.80,18.90,29,10,16,11,17.70,50,21,5,17.85,50
"AAPL","2026-01-16",257.500,"CALL",2025-12-26T17:18:01.491,2025-12-26T14:24:20.325,18.49,18.75,18.10,18.40,32,9,105,7,16.40,50,10,11,17.90,50
"AAPL","2026-01-16",257.500,"CALL",2025-12-29T17:18:27.929,2025-12-29T15:54:10.091,16.85,17.68,16.85,17.30,35,16,7,7,17.40,50,16,76,17.90,50
"AAPL","2026-01-16",257.500,"CALL",2025-12-30T17:21:38.111,2025-12-30T15:22:39.438,17.70,17.70,16.10,17.05,27,15,18,11,16.20,50,7,5,17.40,50
"AAPL","2026-01-16",257.500,"CALL",2025-12-31T17:23:06.869,2025-12-31T15:53:10.036,16.90,16.90,16.05,16.05,35,18,11,69,15.10,50,15,4,15.70,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-02T17:17:27.572,2026-01-02T15:52:00.032,16.10,20.55,13.07,14.25,73,36,10,76,14.45,50,75,5,14.65,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-05T17:15:23.794,2026-01-05T15:56:24.576,13.45,13.95,10.33,10.88,146,84,14,76,11.00,50,1,4,11.30,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-06T17:18:20.877,2026-01-06T15:57:22.732,9.15,9.58,7.00,7.18,504,114,94,7,6.90,50,24,42,7.05,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-07T17:23:39.62,2026-01-07T15:59:51.708,7.70,7.85,5.40,5.60,1080,220,32,11,5.55,50,42,11,5.65,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-08T17:20:04.215,2026-01-08T15:59:56.329,3.60,4.80,3.05,4.69,8911,1860,15,43,4.60,50,6,42,4.70,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-09T17:24:17.924,2026-01-09T15:59:54.75,4.60,5.06,2.94,4.30,12196,2188,16,43,4.15,50,66,31,4.35,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-12T17:24:19.845,2026-01-12T15:59:59.178,4.27,5.47,2.70,4.50,10131,2164,372,4,4.45,50,37,76,4.60,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-13T17:19:19.707,2026-01-13T15:59:57.013,3.60,5.55,3.26,4.80,4538,1071,24,69,4.70,50,5,7,4.85,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-14T17:19:45.086,2026-01-14T15:59:55.443,3.80,5.30,2.01,3.69,10436,1995,40,7,3.65,50,37,76,3.85,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-15T17:23:02.134,2026-01-15T15:59:59.983,3.90,4.11,1.30,1.85,24256,2307,2,7,1.82,50,1,7,1.88,50
"AAPL","2026-01-16",257.500,"CALL",2026-01-16T17:16:06.032,2026-01-16T15:58:22.728,1.39,1.87,0.01,0.01,107190,10096,0,76,0.00,50,1008,9,0.01,50

