date,open,high,low,close,volume,average,barCount
2025-08-25,226.48,229.3,226.23,227.16,185612.0,228.178,103099
2025-08-26,226.86,229.49,224.69,229.31,199183.0,227.225,105343
2025-08-27,228.69,230.9,228.26,230.49,181819.0,229.905,94042
2025-08-28,230.82,233.41,229.33,232.56,207217.0,231.952,114518
2025-08-29,232.55,233.38,231.37,232.14,210741.0,232.378,118808
2025-09-02,229.25,230.85,226.97,229.72,225607.0,228.881,130757
2025-09-03,237.21,238.85,234.36,238.47,418762.0,236.747,224131
2025-09-04,238.45,239.9,236.74,239.78,273257.0,238.262,154685
2025-09-05,240.0,241.32,238.49,239.69,322318.0,239.666,186676
2025-09-08,239.3,240.15,236.34,237.88,283099.0,238.244,157867
2025-09-09,237.0,238.79,233.36,234.35,451455.0,235.744,233664
2025-09-10,231.97,232.42,225.95,226.79,517653.0,227.916,274926
2025-09-11,226.84,230.45,226.65,230.03,293744.0,229.034,156008
2025-09-12,229.3,234.51,229.02,234.07,329717.0,233.138,181832
2025-09-15,237.0,238.19,235.03,236.7,269988.0,236.324,155076
2025-09-16,237.12,241.22,236.32,238.15,370985.0,239.072,215217
2025-09-17,238.97,240.1,237.73,238.99,251459.0,239.293,147420
2025-09-18,239.96,241.2,236.65,237.88,248284.0,238.091,148710
2025-09-19,241.2,246.27,240.21,245.5,653607.0,243.488,311854
2025-09-22,248.3,256.64,248.12,256.08,679299.0,253.701,369271
2025-09-23,255.83,257.34,253.58,254.43,336202.0,255.368,191424
2025-09-24,255.25,255.58,251.04,252.31,217534.0,252.251,121926
2025-09-25,253.35,257.17,251.71,256.87,336799.0,254.375,181676
2025-09-26,254.18,257.6,253.78,255.46,248770.0,255.521,149165
2025-09-29,254.56,255.0,253.01,254.43,217882.0,253.886,123370
2025-09-30,254.89,255.92,253.11,254.63,189259.0,254.514,110332
2025-10-01,255.04,258.79,254.93,255.45,255155.0,256.278,145147
2025-10-02,256.59,258.18,254.15,257.13,242873.0,256.853,126065
2025-10-03,254.67,259.24,253.95,258.02,300807.0,257.935,166518
2025-10-06,257.99,259.07,255.05,256.69,233998.0,256.973,131146
2025-10-07,256.81,257.4,255.43,256.48,189739.0,256.404,106785
2025-10-08,256.52,258.52,256.11,258.06,188973.0,257.75,99018
2025-10-09,257.81,258.0,253.14,254.04,214702.0,254.668,118664
2025-10-10,254.94,256.38,244.65,245.27,343658.0,249.409,200132
2025-10-13,249.31,249.69,245.56,247.66,187465.0,247.952,105768
2025-10-14,246.6,248.85,244.7,247.77,176034.0,247.21,100507
2025-10-15,249.49,251.82,247.47,249.34,172136.0,249.754,96331
2025-10-16,248.28,249.04,245.13,247.45,235179.0,247.351,132811
2025-10-17,248.08,253.38,247.27,252.29,260607.0,250.408,125831
2025-10-20,255.89,264.38,255.63,262.24,538560.0,261.73,265957
2025-10-21,261.88,265.29,261.83,262.77,282234.0,263.533,140549
2025-10-22,262.61,262.85,255.43,258.45,253663.0,258.74,135366
2025-10-23,259.89,260.62,258.01,259.58,162920.0,259.553,90076
2025-10-24,261.16,264.13,259.18,262.82,230856.0,262.498,131207
2025-10-27,264.88,269.12,264.65,268.81,241395.0,266.479,127754
2025-10-28,269.01,269.89,268.15,269.0,252611.0,269.004,125626
2025-10-29,269.37,271.41,267.11,269.7,269679.0,269.513,131019
2025-10-30,271.99,274.14,268.48,271.4,315952.0,271.278,174263
2025-10-31,276.99,277.32,269.16,270.37,405707.0,271.584,203583
